天通苑 天通苑东二区 5室 次卧朝南,天通苑东二区,2090,http://bj.58.com/pinpaigongyu/26807340111802x.shtml
花乡 德鑫家园 3室 主卧朝南,德鑫家园,2150,http://bj.58.com/pinpaigongyu/26652449700403x.shtml
望京 望京新城 4室 主卧朝南,望京新城,3190,http://bj.58.com/pinpaigongyu/26629210922300x.shtml
昌平 天通苑东一区 5室 主卧朝南,天通苑东一区,2490,http://bj.58.com/pinpaigongyu/26608947504203x.shtml
温泉 环保嘉苑 3室 主卧朝南,环保嘉苑,2490,http://bj.58.com/pinpaigongyu/26694459181516x.shtml
高米店 乐乎城市青年社区 1室1厅整租,高米店,2500,http://bj.58.com/pinpaigongyu/26750060995755x.shtml
定福庄 管庄新村 3室 次卧朝南,管庄新村,2090,http://bj.58.com/pinpaigongyu/26465789664442x.shtml
百子湾 后现代城 3室 次卧朝南,后现代城,3090,http://bj.58.com/pinpaigongyu/26807181297212x.shtml
西门 乐乎公寓 1室1厅整租,西门,2400,http://bj.58.com/pinpaigongyu/26542179499200x.shtml
朝阳 望京西园一区 5室 次卧朝南,望京西园一区,3390,http://bj.58.com/pinpaigongyu/26551390139325x.shtml
西红门 乐乎城市青年社区 1室1厅整租,西红门,3500,http://bj.58.com/pinpaigongyu/26783745871793x.shtml
管庄 远洋一方润园2号 4室 次卧朝南,远洋一方润园2号,2260,http://bj.58.com/pinpaigongyu/26465808988972x.shtml
管庄 远洋一方润园2号 3室 次卧朝北,远洋一方润园2号,2020,http://bj.58.com/pinpaigongyu/26685535772331x.shtml
西门 乐乎公寓 1室1厅整租,西门,2400,http://bj.58.com/pinpaigongyu/26542174191810x.shtml
亦庄 蜂客公寓 1室0厅整租,亦庄,3000,http://bj.58.com/pinpaigongyu/26848588452679x.shtml
高米店 乐乎青年社区 1室1厅整租,高米店,2600,http://bj.58.com/pinpaigongyu/26771994809133x.shtml
西红门 乐乎城市青年社区 1室1厅整租,西红门,2500,http://bj.58.com/pinpaigongyu/26782825389637x.shtml
回龙观 回龙观新村西区 3室 主卧朝南,回龙观新村西区,2290,http://bj.58.com/pinpaigongyu/26739835717929x.shtml
西红门 乐乎城市青年社区 1室1厅整租,西红门,2500,http://bj.58.com/pinpaigongyu/26771856288591x.shtml
亦庄 蜂客公寓 1室0厅整租,亦庄,3880,http://bj.58.com/pinpaigongyu/26827202512700x.shtml
title,location,money,url
科技园区 四合欣园 3室 主卧朝南,四合欣园,2080,http://bj.58.com/pinpaigongyu/26660330658638x.shtml
亦庄 蜂客公寓 1室1厅整租,亦庄,3000,http://bj.58.com/pinpaigongyu/26850016900425x.shtml
梨园 梨花园 3室 次卧朝南,梨花园,2400,http://bj.58.com/pinpaigongyu/26772258513716x.shtml
亦庄 锋客公寓 1室0厅整租,亦庄,3000,http://bj.58.com/pinpaigongyu/26848834618959x.shtml
成寿寺 中海城圣朝菲 4室 次卧朝北,中海城圣朝菲,2190,http://bj.58.com/pinpaigongyu/26465798000062x.shtml
亦庄 蜂客公寓 1室0厅整租,亦庄,3580,http://bj.58.com/pinpaigongyu/26819399533100x.shtml
立水桥 乐乎城市青年社区 1室1厅整租,立水桥,3150,http://bj.58.com/pinpaigongyu/26808414662855x.shtml
立水桥 乐乎城市青年社区 1室1厅整租,立水桥,3150,http://bj.58.com/pinpaigongyu/26808807446841x.shtml
立水桥 乐乎城市青年社区 1室1厅整租,立水桥,2950,http://bj.58.com/pinpaigongyu/26841314123966x.shtml
通州北苑 万方家园怡园 3室 次卧朝南,万方家园怡园,2900,http://bj.58.com/pinpaigongyu/26730735479372x.shtml
西红门 星光影视园区 1室0厅整租,星光影视园区,2600,http://bj.58.com/pinpaigongyu/26797087803461x.shtml
亦庄 蜂客公寓 1室0厅整租,亦庄,3000,http://bj.58.com/pinpaigongyu/26838312516047x.shtml
霍营 ZOME己美公寓 1室1厅整租,霍营,2880,http://bj.58.com/pinpaigongyu/26850599323216x.shtml
天宁寺 天宁寺前街北里 4室 次卧朝北,天宁寺前街北里,2390,http://bj.58.com/pinpaigongyu/26465798612547x.shtml
立水桥 乐乎青年社区 1室1厅整租,立水桥,3150,http://bj.58.com/pinpaigongyu/26794347671626x.shtml
立水桥 乐乎城市青年社区 1室0厅整租,立水桥,3100,http://bj.58.com/pinpaigongyu/26808445759042x.shtml
朝青板块 金隅汇星苑 3室 主卧朝南,金隅汇星苑,2750,http://bj.58.com/pinpaigongyu/26465803834948x.shtml
四惠 通惠家园惠生园 5室 次卧朝南,通惠家园惠生园,2960,http://bj.58.com/pinpaigongyu/26806494495438x.shtml
亦庄 蜂客公寓 1室0厅整租,亦庄,2880,http://bj.58.com/pinpaigongyu/26839479691853x.shtml
管庄 瑞祥里 1室1厅整租,瑞祥里,4000,http://bj.58.com/pinpaigongyu/26742423601483x.shtml
title,location,money,url
通州北苑 魔方，公寓 1室1厅整租,通州北苑,3100,http://bj.58.com/pinpaigongyu/26806011638081x.shtml
西红门 乐乎城市青年社区 1室1厅整租,西红门,3500,http://bj.58.com/pinpaigongyu/26829977381310x.shtml
亦庄 魔方公寓 1室1厅整租,亦庄,3100,http://bj.58.com/pinpaigongyu/26832132164675x.shtml
花乡 德鑫家园 3室 主卧朝南,德鑫家园,2190,http://bj.58.com/pinpaigongyu/26673694483636x.shtml
新华大街 乐乎公寓 1室1厅整租,新华大街,2400,http://bj.58.com/pinpaigongyu/26542181353807x.shtml
双桥 旺角府邸 4室 次卧朝北,旺角府邸,2080,http://bj.58.com/pinpaigongyu/26465817171641x.shtml
亦庄 蜂客公寓 1室0厅整租,亦庄,3280,http://bj.58.com/pinpaigongyu/26796487451442x.shtml
亦庄 蜂客公寓 1室0厅整租,亦庄,3000,http://bj.58.com/pinpaigongyu/26839998425412x.shtml
立水桥 乐乎城市青年社区 1室1厅整租,立水桥,3150,http://bj.58.com/pinpaigongyu/26808593822928x.shtml
望京 南湖东园一区 3室 主卧朝东,南湖东园一区,3250,http://bj.58.com/pinpaigongyu/26830021746092x.shtml
